Site.ID,Tour.ID,AM_n,AM_b,AH_n,AP_n,AP_b,CM,H_n,H_b,H_iso,PP_n,PP_type,Site.name,Latitude,Longitude,Altitude.x,Air.temp,Air.humidity,Soil.temp,Soil.humidity,Pop_size,Tour_ID,Plant_ID,HpA_plant,Albugo,Necrosis,Used_for,Lat,Long,HpA_site,Altitude.y,Notes,,,,
P0030,ITA,2,1,2,2,1,1,1,1,NA,20,1,Pigna,41.17051,14.17522,55,67.9,13.5,9.9,8.27,1000,ITA,PA0261,0,NA,NA,M,41.17051,14.17522,1,55,"ca 1E size rosette, green and happy and compact. flowering with siliques",,,,
P0030,ITA,2,1,2,2,1,1,1,1,NA,20,1,Pigna,41.17051,14.17522,55,67.9,13.5,9.9,8.27,1000,ITA,PC0071,0,NA,NA,M,41.17051,14.17522,1,55,medium size rosette that just started flowering,,,,
P0030,ITA,2,1,2,2,1,1,1,1,NA,20,1,Pigna,41.17051,14.17522,55,67.9,13.5,9.9,8.27,1000,ITA,PA0258,0,NA,NA,M,41.17051,14.17522,1,55,small and compact rosette that is almost buried below stuff. very happily green, flowering,,,
P0031,ITA,2,1,2,2,1,1,0,0,NA,20,5,Liri,41.42244,13.77876,34,56.1,20.8,27.4,15.56,100,ITA,PA0264,0,NA,NA,M,41.42244,13.77876,0,34,small rosette with pale leaves. flowering,,,,
P0031,ITA,2,1,2,2,1,1,0,0,NA,20,5,Liri,41.42244,13.77876,34,56.1,20.8,27.4,15.56,100,ITA,PA0266,0,NA,NA,M,41.42244,13.77876,0,34,"medium size rosette, half the leaves are partially eaten away, but plant looks happy. flowering",,,,
P0031,ITA,2,1,2,2,1,1,0,0,NA,20,5,Liri,41.42244,13.77876,34,56.1,20.8,27.4,15.56,100,ITA,PC0072,0,NA,NA,M,41.42244,13.77876,0,34,"small rosette, just started flowering",,,,
P0032,ITA,2,1,2,2,1,1,0,0,NA,20,3,Ciste,41.61725,12.8714,96,19.5,55.2,16.4,26.74,100,ITA,PA0270,0,NA,NA,M,41.61725,12.8714,0,96,"before/above the dirt hill; small not-too-happy-looking rosette (pale, partially eaten). flowering",,,,
P0032,ITA,2,1,2,2,1,1,0,0,NA,20,3,Ciste,41.61725,12.8714,96,19.5,55.2,16.4,26.74,100,ITA,PA0273,0,NA,NA,M,41.61725,12.8714,0,96,"on dirt hill, small happy rosette that just started flowering",,,,
P0032,ITA,2,1,2,2,1,1,0,0,NA,20,3,Ciste,41.61725,12.8714,96,19.5,55.2,16.4,26.74,100,ITA,PC0073,0,NA,NA,M,41.61725,12.8714,0,96,"ca 2E siize. vegetative. a bit pale, but happy",,,,
P0033,ITA,2,1,2,2,1,1,0,0,NA,20,1,Cerve,42.00249,12.09421,66,15.8,72.8,15.6,28.85,200,ITA,PC0074,0,NA,NA,M,42.00249,12.09421,0,66,"at trail entrance; medium size, green, flowering",,,,
P0033,ITA,2,1,2,2,1,1,0,0,NA,20,1,Cerve,42.00249,12.09421,66,15.8,72.8,15.6,28.85,200,ITA,PA0275,0,NA,NA,M,42.00249,12.09421,0,66,"further than bridge, small reddish rosette, flowering with first siliques",,,,
P0033,ITA,2,1,2,2,1,1,0,0,NA,20,1,Cerve,42.00249,12.09421,66,15.8,72.8,15.6,28.85,200,ITA,PA0276,0,NA,NA,M,42.00249,12.09421,0,66,"further than bridge, medium size juicy rosette, just started to flower",,,,
P0034,AAG,2,1,2,2,1,1,0,0,NA,20,5,Istisu,38.97878,48.55923,93,17.4,59.1,14.4,12.08,200,AAG,PC0007,0,0,NA,M,38.97878,48.55923,0,93,"1-2E size, probably still vegetative, happy",,,,
P0034,AAG,2,1,2,2,1,1,0,0,NA,20,5,Istisu,38.97878,48.55923,93,17.4,59.1,14.4,12.08,200,AAG,PA0506,0,1,0,M,38.97878,48.55923,0,93,"vegetative, ca. 1 E size, green from top, lots of Albugo on the bottom",,,,
P0034,AAG,2,1,2,2,1,1,0,0,NA,20,5,Istisu,38.97878,48.55923,93,17.4,59.1,14.4,12.08,200,AAG,PA0505,0,1,0,M,38.97878,48.55923,0,93,"appears still vegetative, ca 1 E rosette, not very happy, some leaves partially eaten, some Albugo under rosette leaves",,,,
P0035,AAG,2,1,2,2,1,1,1,1,NA,20,5,Istisu2,38.97427,48.55284,94,14.3,72.1,12.3,13.8,200,AAG,PC0008,0,0,NA,M,38.97427,48.55284,1,94,"ca 2x2E size, just started flowering, happy. only used half the plant for macerating",,,,
P0035,AAG,2,1,2,2,1,1,1,1,NA,20,5,Istisu2,38.97427,48.55284,94,14.3,72.1,12.3,13.8,200,AAG,PA0514,0,0,NA,M,38.97427,48.55284,1,94,"ca 1 E size, just started flowering, fresh and juicy",,,,
P0035,AAG,2,1,2,2,1,1,1,1,NA,20,5,Istisu2,38.97427,48.55284,94,14.3,72.1,12.3,13.8,200,AAG,PA0513,0,0,NA,M,38.97427,48.55284,1,94,"small rosette (ca 20 cent), green and flowering",,,,
P0036,AAG,0,0,4,0,0,0,4,1,NA,0,0,Valedi (new),38.7354,48.84103,-14,,NA,,,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
P0037,AAG,2,1,3,2,1,0,3,1,NA,20,1,Lerik1,38.74044,48.61248,278,14.3,72,14,10.79,5000,AAG,PA0523,0,NA,NA,M,38.74044,48.61248,1,278,,,,,
P0037,AAG,2,1,3,2,1,0,3,1,NA,20,1,Lerik1,38.74044,48.61248,278,14.3,72,14,10.79,5000,AAG,PA0521,0,NA,NA,M,38.74044,48.61248,1,278,,,,,
P0038,AAG,2,1,2,2,1,0,2,1,NA,20,5,Lerik2,38.78307,48.55154,400,15.9,71,13.5,15.06,10000,AAG,PA0531,0,NA,NA,M,38.78307,48.55154,1,400,,,,,
P0038,AAG,2,1,2,2,1,0,2,1,NA,20,5,Lerik2,38.78307,48.55154,400,15.9,71,13.5,15.06,10000,AAG,PA0529,0,NA,NA,M,38.78307,48.55154,1,400,,,,,
P0039,AAG,2,1,4,2,1,0,4,1,NA,20,1,Xanbulan,38.65625,48.80046,25,18.1,61,14.7,16.47,10000,AAG,PA0535,0,NA,NA,M,38.65625,48.80046,1,25,,,,,
P0039,AAG,2,1,4,2,1,0,4,1,NA,20,1,Xanbulan,38.65625,48.80046,25,18.1,61,14.7,16.47,10000,AAG,PA0537,0,NA,NA,M,38.65625,48.80046,1,25,,,,,
P0040,AAG,2,1,2,2,1,1,0,0,NA,20,5,Nar,38.88007,48.81895,-30,15.5,64.8,12.4,17.86,50,AAG,PA0545,0,NA,NA,M,38.88007,48.81895,0,-30,,,,,
P0040,AAG,2,1,2,2,1,1,0,0,NA,20,5,Nar,38.88007,48.81895,-30,15.5,64.8,12.4,17.86,50,AAG,PC0009,0,NA,NA,M,38.88007,48.81895,0,-30,,,,,
P0040,AAG,2,1,2,2,1,1,0,0,NA,20,5,Nar,38.88007,48.81895,-30,15.5,64.8,12.4,17.86,50,AAG,PA0543,0,NA,NA,M,38.88007,48.81895,0,-30,,,,,
P0041,AAG,0,0,1,0,0,0,1,1,NA,0,0,Zaq (new),41.602732,46.659123,NA,20,NA,,,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
P0042,AAG,2,1,2,2,1,1,0,0,NA,20,5,Lag,41.82686,46.28318,479,12.8,90.5,14.4,11.09,100,AAG,PA0560,0,0,NA,M,41.82686,46.28318,0,479,"flowering with green siliques, <1 E rosette, leaves red",,,,
P0042,AAG,2,1,2,2,1,1,0,0,NA,20,5,Lag,41.82686,46.28318,479,12.8,90.5,14.4,11.09,100,AAG,PA0557,0,0,NA,M,41.82686,46.28318,0,479,"flowering with first siliques, rosette green with some red",,,,
P0042,AAG,2,1,2,2,1,1,0,0,NA,20,5,Lag,41.82686,46.28318,479,12.8,90.5,14.4,11.09,100,AAG,PC0011,0,NA,NA,M,41.82686,46.28318,0,479,just started flowering, small,,,
P0043,AAG,2,1,4,2,1,1,2,1,NA,20,5,Lag2,41.84047,46.28331,549,14.2,87.9,12.2,23.57,1000,AAG,PC0010,0,NA,NA,M,41.84047,46.28331,1,549,just started flowering, small,,,
P0043,AAG,2,1,4,2,1,1,2,1,NA,20,5,Lag2,41.84047,46.28331,549,14.2,87.9,12.2,23.57,1000,AAG,PA0550,0,0,NA,M,41.84047,46.28331,1,549,"flowering plant, ca 1E rosette that is green, yellow and red.",,,,
P0043,AAG,2,1,4,2,1,1,2,1,NA,20,5,Lag2,41.84047,46.28331,549,14.2,87.9,12.2,23.57,1000,AAG,PA0555,0,1,NA,M,41.84047,46.28331,1,549,"flowering with green siliques, ca 1 E rosette, green",,,,
