Sequence_ID	Tour_ID	Site_ID	Plant_ID	HpA_plant	Albugo	Necrosis	Used_for	Host_Species	Lat	Long	HpA_site	Altitude	rndCoord.lon	rndCoord.lat	ClimateZ	Land_cov
PA1360.P211.IRE	PA1360.P211.IRE	IRE	P0211	PA1360	NA	NA	NA	SOIL		53.55223	-9.94931	NA	NA	-9.75	53.75	Cfb	30
PA1364.P211.IRE	PA1364.P211.IRE	IRE	P0211	PA1364	NA	NA	NA	SOIL		53.55223	-9.94931	NA	NA	-9.75	53.75	Cfb	30
PA1367.P212.IRE	PA1367.P212.IRE	IRE	P0212	PA1367	NA	NA	NA	SOIL		53.39631	-9.91893	NA	NA	-9.75	53.25	Cfb	30
PA1372.P213.IRE	PA1372.P213.IRE	IRE	P0213	PA1372	NA	NA	NA	SOIL		53.43545	-9.30709	NA	NA	-9.25	53.25	Cfb	30
PA1374.P213.IRE	PA1374.P213.IRE	IRE	P0213	PA1374	NA	NA	NA	SOIL		53.43545	-9.30709	NA	NA	-9.25	53.25	Cfb	14
PA1379.P214.IRE	PA1379.P214.IRE	IRE	P0214	PA1379	NA	NA	NA	SOIL		53.27923	-9.13919	NA	NA	-9.25	53.25	Cfb	14
PA1382.P214.IRE	PA1382.P214.IRE	IRE	P0214	PA1382	NA	NA	NA	SOIL		53.27923	-9.13919	NA	NA	-9.25	53.25	Cfb	30
PA1383.P215.IRE	PA1383.P215.IRE	IRE	P0215	PA1383	NA	NA	NA	SOIL		53.32991	-8.22293	NA	NA	-8.25	53.25	Cfb	30
PA1386.P215.IRE	PA1386.P215.IRE	IRE	P0215	PA1386	NA	NA	NA	SOIL		53.32991	-8.22293	NA	NA	-8.25	53.25	Cfb	70
PA1396.P232.IRE	PA1396.P232.IRE	IRE	P0232	PA1396	NA	NA	NA	SOIL		53.115	-9.15044	NA	NA	-9.25	53.25	Cfb	70
PA1399.P233.IRE	PA1399.P233.IRE	IRE	P0233	PA1399	NA	NA	NA	SOIL		53.12682	-9.05359	NA	NA	-9.25	53.25	Cfb	190
PA1403.P234.IRE	PA1403.P234.IRE	IRE	P0234	PA1403	NA	NA	NA	SOIL		53.12878	-8.95529	NA	NA	-8.75	53.25	Cfb	190
PA1406.P234.IRE	PA1406.P234.IRE	IRE	P0234	PA1406	NA	NA	NA	SOIL		53.12878	-8.95529	NA	NA	-8.75	53.25	Cfb	70
PA1417.P0266.SS	PA1417.P0266.SS	SSD	P0266	PA1417	NA	NA	NA	SOIL		55.70496	13.1959	NA	NA	13.25	55.75	Cfb	70
PA1418.P0266.SS	PA1418.P0266.SS	SSD	P0266	PA1418	NA	NA	NA	SOIL		55.70496	13.1959	NA	NA	13.25	55.75	Cfb	130
PA1423.P0267.SS	PA1423.P0267.SS	SSD	P0267	PA1423	NA	NA	NA	SOIL		55.75142	13.04138	NA	NA	13.25	55.75	Cfb	130
PA1426.P0267.SS	PA1426.P0267.SS	SSD	P0267	PA1426	NA	NA	NA	SOIL		55.75142	13.04138	NA	NA	13.25	55.75	Cfb	130
PA1429.P0268.SS	PA1429.P0268.SS	SSD	P0268	PA1429	NA	NA	NA	SOIL		55.79369	13.1225	NA	NA	13.25	55.75	Cfb	130
PA1431.P0268.SS	PA1431.P0268.SS	SSD	P0268	PA1431	NA	NA	NA	SOIL		55.79369	13.1225	NA	NA	13.25	55.75	Cfb	30
PA1438.P0269.SS	PA1438.P0269.SS	SSD	P0269	PA1438	NA	NA	NA	SOIL		55.67777	13.42023	NA	NA	13.25	55.75	Cfb	30
PA1439.P0269.SS	PA1439.P0269.SS	SSD	P0269	PA1439	NA	NA	NA	SOIL		55.67777	13.42023	NA	NA	13.25	55.75	Cfb	20
PA1443.P0270.SS	PA1443.P0270.SS	SSD	P0270	PA1443	NA	NA	NA	SOIL		55.773	14.15341	NA	NA	14.25	55.75	Cfb	20
PA1444.P0270.SS	PA1444.P0270.SS	SSD	P0270	PA1444	NA	NA	NA	SOIL		55.773	14.15341	NA	NA	14.25	55.75	Cfb	20
PA1458.P0272.SS	PA1458.P0272.SS	SSD	P0272	PA1458	NA	NA	NA	SOIL		55.57917	14.33291	NA	NA	14.25	55.75	Cfb	20
PA1459.P0272.SS	PA1459.P0272.SS	SSD	P0272	PA1459	NA	NA	NA	SOIL		55.57917	14.33291	NA	NA	14.25	55.75	Cfb	70
PA1459.P0272.SS_rep	PA1459.P0272.SS_rep	SSD	P0272	PA1459	NA	NA	NA	SOIL		55.57917	14.33291	NA	NA	14.25	55.75	Cfb	70
PA1465.P0273.SS	PA1465.P0273.SS	SSD	P0273	PA1465	NA	NA	NA	SOIL		56.05585	14.30316	NA	NA	14.25	56.25	Cfb	70
PA1466.P0273.SS	PA1466.P0273.SS	SSD	P0273	PA1466	NA	NA	NA	SOIL		56.05585	14.30316	NA	NA	14.25	56.25	Cfb	70
